"id","weight"
"CCLE.Cluster 1.carcinoma.PATU8902_PANCREAS",1
"CCLE.Cluster 1.carcinoma.PATU8988S_PANCREAS",1
"CCLE.Cluster 1.carcinoma.PATU8988T_PANCREAS",1
"CCLE.Cluster 1.carcinoma.PK59_PANCREAS",1
"CCLE.Cluster 1.carcinoma.RCM1_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SKCO1_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SNU1196_BILIARY_TRACT",1
"CCLE.Cluster 1.carcinoma.SNU175_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SNU283_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SNU324_PANCREAS",1
"CCLE.Cluster 1.carcinoma.SNU407_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SNU520_STOMACH",1
"CCLE.Cluster 1.carcinoma.SNU5_STOMACH",1
"CCLE.Cluster 1.carcinoma.SNU601_STOMACH",1
"CCLE.Cluster 1.carcinoma.SNU61_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SNU620_STOMACH",1
"CCLE.Cluster 1.carcinoma.SNU719_STOMACH",1
"CCLE.Cluster 1.carcinoma.SNU81_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SNUC1_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SNUC4_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SNUC5_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SW1417_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SW1463_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SW1573_LUNG",1
"CCLE.Cluster 1.carcinoma.SW403_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SW48_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SW620_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SW837_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.SW948_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.T84_LARGE_INTESTINE",1
"CCLE.Cluster 1.carcinoma.TGBC11TKB_STOMACH",1
"CCLE.Cluster 2.carcinoma.5637_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.647V_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.A253_SALIVARY_GLAND",2
"CCLE.Cluster 2.carcinoma.A549_LUNG",2
"CCLE.Cluster 2.carcinoma.ABC1_LUNG",2
"CCLE.Cluster 2.carcinoma.AU565_BREAST",2
"CCLE.Cluster 2.carcinoma.BC3C_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.BFTC905_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.BHY_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.BICR18_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.BICR31_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.BT20_BREAST",2
"CCLE.Cluster 2.carcinoma.BT474_BREAST",2
"CCLE.Cluster 2.carcinoma.BT483_BREAST",2
"CCLE.Cluster 2.carcinoma.BXPC3_PANCREAS",2
"CCLE.Cluster 2.carcinoma.C2BBE1_LARGE_INTESTINE",2
"CCLE.Cluster 2.carcinoma.CAL12T_LUNG",2
